data,ano,mes,nome_mes,dia,dia_semana,nome_dia_semana,trimestre,semestre,eh_final_de_semana,eh_dia_util
2010-02-27,2010,2,Fevereiro,27,7,Sábado,1,1,True,False
2010-03-02,2010,3,Março,2,3,Terça-Feira,1,1,False,True
2010-03-03,2010,3,Março,3,4,Quarta-Feira,1,1,False,True
2010-03-16,2010,3,Março,16,3,Terça-Feira,1,1,False,True
2010-03-17,2010,3,Março,17,4,Quarta-Feira,1,1,False,True
2010-03-20,2010,3,Março,20,7,Sábado,1,1,True,False
2010-05-10,2010,5,Maio,10,2,Segunda-Feira,2,1,False,True
2010-06-15,2010,6,Junho,15,3,Terça-Feira,2,1,False,True
2010-06-23,2010,6,Junho,23,4,Quarta-Feira,2,1,False,True
2010-06-27,2010,6,Junho,27,1,Domingo,2,1,True,False
2010-07-01,2010,7,Julho,1,5,Quinta-Feira,3,2,False,True
2010-07-17,2010,7,Julho,17,7,Sábado,3,2,True,False
2010-07-21,2010,7,Julho,21,4,Quarta-Feira,3,2,False,True
2010-07-28,2010,7,Julho,28,4,Quarta-Feira,3,2,False,True
2010-08-11,2010,8,Agosto,11,4,Quarta-Feira,3,2,False,True
2010-08-12,2010,8,Agosto,12,5,Quinta-Feira,3,2,False,True
2010-08-18,2010,8,Agosto,18,4,Quarta-Feira,3,2,False,True
2010-08-19,2010,8,Agosto,19,5,Quinta-Feira,3,2,False,True
2010-09-06,2010,9,Setembro,6,2,Segunda-Feira,3,2,False,True
2010-09-07,2010,9,Setembro,7,3,Terça-Feira,3,2,False,True
2010-09-09,2010,9,Setembro,9,5,Quinta-Feira,3,2,False,True
2010-09-10,2010,9,Setembro,10,6,Sexta-Feira,3,2,False,True
2010-09-11,2010,9,Setembro,11,7,Sábado,3,2,True,False
2010-09-13,2010,9,Setembro,13,2,Segunda-Feira,3,2,False,True
2010-09-15,2010,9,Setembro,15,4,Quarta-Feira,3,2,False,True
2010-09-20,2010,9,Setembro,20,2,Segunda-Feira,3,2,False,True
2010-09-22,2010,9,Setembro,22,4,Quarta-Feira,3,2,False,True
2010-09-28,2010,9,Setembro,28,3,Terça-Feira,3,2,False,True
2010-09-29,2010,9,Setembro,29,4,Quarta-Feira,3,2,False,True
2010-09-30,2010,9,Setembro,30,5,Quinta-Feira,3,2,False,True
2010-10-02,2010,10,Outubro,2,7,Sábado,4,2,True,False
2010-10-04,2010,10,Outubro,4,2,Segunda-Feira,4,2,False,True
2010-10-06,2010,10,Outubro,6,4,Quarta-Feira,4,2,False,True
2010-10-15,2010,10,Outubro,15,6,Sexta-Feira,4,2,False,True
2010-10-16,2010,10,Outubro,16,7,Sábado,4,2,True,False
2010-10-17,2010,10,Outubro,17,1,Domingo,4,2,True,False
2010-10-24,2010,10,Outubro,24,1,Domingo,4,2,True,False
2010-11-02,2010,11,Novembro,2,3,Terça-Feira,4,2,False,True
2010-11-19,2010,11,Novembro,19,6,Sexta-Feira,4,2,False,True
2010-12-04,2010,12,Dezembro,4,7,Sábado,4,2,True,False
2010-12-07,2010,12,Dezembro,7,3,Terça-Feira,4,2,False,True
2010-12-10,2010,12,Dezembro,10,6,Sexta-Feira,4,2,False,True
2010-12-11,2010,12,Dezembro,11,7,Sábado,4,2,True,False
2010-12-17,2010,12,Dezembro,17,6,Sexta-Feira,4,2,False,True
2010-12-18,2010,12,Dezembro,18,7,Sábado,4,2,True,False
2010-12-20,2010,12,Dezembro,20,2,Segunda-Feira,4,2,False,True
2010-12-23,2010,12,Dezembro,23,5,Quinta-Feira,4,2,False,True
2010-12-24,2010,12,Dezembro,24,6,Sexta-Feira,4,2,False,True
2010-12-25,2010,12,Dezembro,25,7,Sábado,4,2,True,False
2010-12-26,2010,12,Dezembro,26,1,Domingo,4,2,True,False
2010-12-27,2010,12,Dezembro,27,2,Segunda-Feira,4,2,False,True
2011-01-01,2011,1,Janeiro,1,7,Sábado,1,1,True,False
2011-01-02,2011,1,Janeiro,2,1,Domingo,1,1,True,False
2011-01-04,2011,1,Janeiro,4,3,Terça-Feira,1,1,False,True
2011-01-05,2011,1,Janeiro,5,4,Quarta-Feira,1,1,False,True
2011-01-07,2011,1,Janeiro,7,6,Sexta-Feira,1,1,False,True
2011-01-11,2011,1,Janeiro,11,3,Terça-Feira,1,1,False,True
2011-01-27,2011,1,Janeiro,27,5,Quinta-Feira,1,1,False,True
2011-01-28,2011,1,Janeiro,28,6,Sexta-Feira,1,1,False,True
2011-02-03,2011,2,Fevereiro,3,5,Quinta-Feira,1,1,False,True
2011-02-05,2011,2,Fevereiro,5,7,Sábado,1,1,True,False
2011-02-10,2011,2,Fevereiro,10,5,Quinta-Feira,1,1,False,True
2011-02-11,2011,2,Fevereiro,11,6,Sexta-Feira,1,1,False,True
2011-02-23,2011,2,Fevereiro,23,4,Quarta-Feira,1,1,False,True
2011-02-27,2011,2,Fevereiro,27,1,Domingo,1,1,True,False
2011-03-02,2011,3,Março,2,4,Quarta-Feira,1,1,False,True
2011-03-03,2011,3,Março,3,5,Quinta-Feira,1,1,False,True
2011-03-07,2011,3,Março,7,2,Segunda-Feira,1,1,False,True
2011-03-08,2011,3,Março,8,3,Terça-Feira,1,1,False,True
2011-03-20,2011,3,Março,20,1,Domingo,1,1,True,False
2011-03-22,2011,3,Março,22,3,Terça-Feira,1,1,False,True
2011-03-26,2011,3,Março,26,7,Sábado,1,1,True,False
2011-04-07,2011,4,Abril,7,5,Quinta-Feira,2,1,False,True
2011-04-08,2011,4,Abril,8,6,Sexta-Feira,2,1,False,True
2011-04-09,2011,4,Abril,9,7,Sábado,2,1,True,False
2011-04-13,2011,4,Abril,13,4,Quarta-Feira,2,1,False,True
2011-04-25,2011,4,Abril,25,2,Segunda-Feira,2,1,False,True
2011-04-29,2011,4,Abril,29,6,Sexta-Feira,2,1,False,True
2011-04-30,2011,4,Abril,30,7,Sábado,2,1,True,False
2011-05-01,2011,5,Maio,1,1,Domingo,2,1,True,False
2011-05-02,2011,5,Maio,2,2,Segunda-Feira,2,1,False,True
2011-05-06,2011,5,Maio,6,6,Sexta-Feira,2,1,False,True
2011-05-09,2011,5,Maio,9,2,Segunda-Feira,2,1,False,True
2011-05-14,2011,5,Maio,14,7,Sábado,2,1,True,False
2011-05-19,2011,5,Maio,19,5,Quinta-Feira,2,1,False,True
