cod_proposta,cod_cliente,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,cod_colaborador,taxa_juros_mensal_decimal,data_entrada_date
1,335,2022-11-23 18:21:09,0.0235,10408.07,16083.99,5675.92,265.72,109,3,Validação documentos,96,,023500,2022-11-23
10,413,2020-03-29 02:08:32,0.0147,149661.37,192346.80,42685.43,2993.29,91,6,Validação documentos,28,,014700,2020-03-29
100,478,2014-02-01 02:50:28,0.0169,88908.87,145370.92,56462.05,3316.87,36,1,Validação documentos,94,,016900,2014-02-01
1000,979,2019-07-20 10:13:31,0.0236,102423.66,131375.93,28952.27,9240.94,13,4,Validação documentos,18,,023600,2019-07-20
1001,382,2022-11-23 00:22:52,0.0173,48982.13,63327.36,14345.23,1403.08,54,6,Validação documentos,59,,017300,2022-11-23
1002,532,2019-09-15 23:45:13,0.0143,119433.48,157959.53,38526.05,14237.18,9,2,Validação documentos,98,,014300,2019-09-15
1003,510,2011-04-12 13:03:18,0.0169,53343.51,90077.73,36734.22,4310.72,14,4,Validação documentos,67,,016900,2011-04-12
1004,402,2012-03-07 23:45:49,0.0243,99075.35,149230.21,50154.86,2587.62,111,4,Em análise,52,,024300,2012-03-07
1005,751,2018-11-07 13:42:08,0.0224,123500.97,173284.34,49783.37,3677.18,63,0,Em análise,38,,022400,2018-11-07
1006,49,2013-10-20 02:34:28,0.0121,134857.11,170072.67,35215.56,2243.96,108,6,Em análise,30,,012100,2013-10-20
1007,477,2019-06-28 23:35:10,0.0195,21308.41,38455.19,17146.78,715.60,45,0,Aprovada,11,,019500,2019-06-28
1008,419,2013-09-10 04:12:25,0.0086,79156.38,108353.50,29197.12,1128.18,108,5,Enviada,69,,008600,2013-09-10
1009,472,2021-04-14 23:45:03,0.0121,92799.68,110491.76,17692.08,4646.42,23,5,Enviada,43,,012100,2021-04-14
101,827,2015-12-29 15:40:59,0.0179,23780.28,38218.77,14438.49,516.43,98,3,Aprovada,9,,017900,2015-12-29
1010,430,2013-06-05 11:43:21,0.0124,14371.03,26635.47,12264.44,576.58,30,3,Aprovada,47,,012400,2013-06-05
1011,292,2022-09-06 02:25:29,0.0121,62126.61,121550.60,59423.99,1235.09,78,5,Validação documentos,86,,012100,2022-09-06
1012,981,2012-09-08 12:56:22,0.0193,105583.70,205614.70,100031.00,3070.52,57,2,Validação documentos,21,,019300,2012-09-08
1013,410,2015-12-06 17:09:10,0.0175,90568.70,173506.78,82938.08,3482.44,35,5,Em análise,29,,017500,2015-12-06
1014,892,2013-06-01 16:23:06,0.0186,70984.26,128636.52,57652.26,1809.22,71,6,Aprovada,28,,018600,2013-06-01
1015,120,2015-05-04 11:35:01,0.0124,75962.67,112835.80,36873.13,3227.74,28,3,Validação documentos,52,,012400,2015-05-04
1016,774,2019-07-19 12:59:16,0.0193,133730.12,172878.73,39148.61,9302.42,17,2,Validação documentos,12,,019300,2019-07-19
1017,843,2010-01-03 20:05:18,0.0228,76028.56,138815.88,62787.32,2024.77,86,6,Em análise,1,,022800,2010-01-03
1018,840,2015-08-01 15:02:58,0.0248,122930.67,175352.43,52421.76,12906.25,11,5,Validação documentos,45,,024800,2015-08-01
1019,862,2022-01-07 07:17:19,0.0090,103602.21,182932.70,79330.49,3095.69,40,6,Enviada,97,,009000,2022-01-07
102,859,2021-06-16 09:12:09,0.0164,107696.23,199719.09,92022.86,2441.64,79,2,Enviada,3,,016400,2021-06-16
1020,264,2010-08-07 03:50:13,0.0126,100570.21,186753.92,86183.71,1765.71,101,2,Enviada,53,,012600,2010-08-07
1021,790,2010-03-29 17:44:55,0.0093,83080.83,140314.25,57233.42,7980.75,11,4,Aprovada,2,,009300,2010-03-29
1022,397,2011-12-14 11:09:29,0.0081,37584.75,44297.93,6713.18,1153.06,38,6,Em análise,45,,008100,2011-12-14
1023,195,2014-09-07 16:31:55,0.0220,92616.13,127684.77,35068.64,5355.72,22,5,Validação documentos,38,,022000,2014-09-07
1024,354,2019-06-09 14:46:50,0.0168,42934.83,59069.10,16134.27,2051.78,26,4,Enviada,97,,016800,2019-06-09
1025,847,2017-08-22 13:05:40,0.0223,59509.83,91298.96,31789.13,2108.66,45,6,Em análise,11,,022300,2017-08-22
1026,181,2018-07-21 20:24:01,0.0126,137778.80,233453.55,95674.75,12443.48,12,3,Aprovada,94,,012600,2018-07-21
1027,531,2016-12-17 12:43:27,0.0165,88808.13,155708.91,66900.78,2165.38,69,6,Aprovada,28,,016500,2016-12-17
1028,208,2020-02-06 07:39:40,0.0126,192003.04,238886.79,46883.75,13325.61,16,0,Enviada,87,,012600,2020-02-06
1029,505,2012-12-18 00:49:39,0.0147,68002.72,101077.39,33074.67,1713.53,60,2,Enviada,67,,014700,2012-12-18
103,545,2020-10-12 23:19:47,0.0241,59138.72,87311.69,28172.97,2141.25,46,4,Aprovada,23,,024100,2020-10-12
1030,197,2020-09-09 06:29:31,0.0124,155074.39,229773.46,74699.07,5142.39,38,1,Aprovada,82,,012400,2020-09-09
1031,72,2021-11-20 18:36:28,0.0185,108182.03,193274.48,85092.45,3118.59,56,5,Aprovada,70,,018500,2021-11-20
1032,250,2010-05-23 07:53:02,0.0161,76870.65,136453.06,59582.41,2773.67,37,0,Em análise,29,,016100,2010-05-23
1033,317,2020-11-11 02:05:05,0.0125,95334.49,131387.49,36053.00,1620.64,107,0,Aprovada,14,,012500,2020-11-11
