cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao
3100,256,2020-05-22 03:15:21,Saque,-130
28405,256,2021-06-29 11:52:38,Saque,-255
1776,512,2020-05-17 13:04:50,Saque,-250
14311,512,2020-09-06 02:55:34,Saque,-80
25012,512,2020-10-16 09:26:52,Saque,-475
26883,512,2020-11-09 00:47:27,Saque,-210
35017,512,2021-04-13 08:17:24,Saque,-50
46264,512,2021-05-01 06:25:50,Saque,-1160
21340,768,2020-02-14 21:42:15,Saque,-170
64259,1,2019-08-11 15:13:07,Saque,-245
28202,257,2022-12-26 05:13:37,Saque,-215
50107,257,2022-12-30 00:00:00,Saque,-175
9740,513,2022-09-19 08:58:15,Saque,-130
18182,513,2022-09-30 20:55:16,Saque,-140
65003,513,2022-12-30 00:00:00,Saque,-35
70201,513,2022-12-30 00:00:00,Saque,-250
47384,769,2019-11-28 16:30:32,Saque,-120
53165,769,2019-12-07 14:39:41,Saque,-360
56160,769,2019-12-08 05:54:14,Saque,-130
71523,769,2022-08-29 02:51:43,Saque,-130
51163,2,2022-12-30 00:00:00,Saque,-190
53595,2,2022-12-30 00:00:00,Saque,-35
71539,2,2022-12-30 00:00:00,Saque,-65
46162,258,2016-01-02 01:00:36,Saque,-215
39404,514,2022-12-29 23:59:59,Saque,-345
42072,514,2022-12-29 23:59:59,Saque,-110
57169,514,2022-12-29 23:59:59,Saque,-85
58524,514,2022-12-29 23:59:59,Saque,-820
16523,770,2022-12-29 22:26:58,Saque,-75
23616,770,2022-12-29 23:59:25,Saque,-400
42140,3,2020-12-20 15:46:11,Saque,-100
60681,3,2021-07-16 19:06:36,Saque,-80
2946,259,2019-11-14 05:48:27,Saque,-565
13546,259,2020-06-08 02:56:17,Saque,-250
51920,259,2022-12-29 23:59:52,Saque,-215
34167,771,2020-10-30 23:56:12,Saque,-860
35751,771,2020-11-30 17:59:02,Saque,-90
40239,4,2019-12-27 06:41:30,Saque,-35
41314,4,2020-01-13 20:49:52,Saque,-260
51740,4,2020-04-05 13:26:51,Saque,-735
69658,4,2020-11-19 10:16:56,Saque,-140
24975,516,2020-11-03 02:18:21,Saque,-20
53075,516,2022-12-29 23:29:16,Saque,-520
14511,772,2018-02-28 09:49:42,Saque,-195
16095,772,2018-03-02 19:27:29,Saque,-300
32383,772,2020-05-31 10:17:46,Saque,-205
13629,5,2016-01-01 15:37:56,Saque,-50
21656,5,2016-02-20 12:39:02,Saque,-170
46080,5,2017-08-15 13:00:18,Saque,-275
51579,5,2017-09-13 10:09:06,Saque,-390
64937,5,2018-06-10 13:38:31,Saque,-185
68430,5,2018-07-24 01:22:33,Saque,-515
8427,261,2016-05-10 09:28:47,Saque,-105
18786,517,2021-03-17 17:29:28,Saque,-195
30913,517,2022-08-11 06:05:29,Saque,-310
67325,517,2022-12-29 23:59:52,Saque,-210
67670,517,2022-12-29 23:59:59,Saque,-65
8469,773,2018-03-16 00:01:21,Saque,-235
35187,773,2020-02-09 05:46:29,Saque,-170
49018,773,2020-04-27 08:10:04,Saque,-155
51264,773,2020-06-20 12:06:33,Saque,-315
62479,773,2020-07-05 21:19:05,Saque,-350
17220,6,2010-10-04 12:27:37,Saque,-310
28307,6,2013-10-20 02:43:00,Saque,-105
56011,6,2016-03-03 17:37:12,Saque,-125
62369,6,2016-09-24 23:09:00,Saque,-35
68342,6,2016-10-02 12:50:28,Saque,-570
19072,262,2021-08-08 03:00:34,Saque,-100
39236,262,2022-12-11 07:56:38,Saque,-45
57340,262,2022-12-29 23:58:50,Saque,-20
15972,518,2020-02-24 16:47:31,Saque,-100
22464,518,2020-04-07 13:32:29,Saque,-510
23183,518,2020-04-15 05:11:53,Saque,-155
29191,518,2021-02-13 18:55:14,Saque,-170
6423,774,2018-09-06 15:52:37,Saque,-305
16296,774,2019-05-31 00:51:25,Saque,-200
30517,774,2019-07-06 07:36:03,Saque,-155
33510,774,2019-08-01 18:27:42,Saque,-255
7673,7,2022-03-24 01:51:06,Saque,-145
9816,7,2022-06-19 15:30:05,Saque,-145
23723,7,2022-10-17 21:49:29,Saque,-165
59321,7,2022-12-30 00:00:00,Saque,-125
71149,263,2022-12-30 00:00:00,Saque,-120
39583,775,2019-10-31 15:06:29,Saque,-3085
3465,8,2021-11-15 08:08:51,Saque,-80
34732,8,2022-12-03 19:40:59,Saque,-55
66930,8,2022-12-30 00:00:00,Saque,-190
13173,520,2021-02-03 14:42:05,Saque,-135
19295,520,2021-03-06 21:44:46,Saque,-125
21769,520,2021-08-03 20:53:09,Saque,-215
33666,520,2021-12-18 20:44:46,Saque,-110
52095,776,2022-12-29 23:59:59,Saque,-90
12181,9,2022-12-30 16:23:13,Saque,-265
44978,9,2022-12-30 16:23:13,Saque,-85
59499,9,2022-12-30 16:23:13,Saque,-575
32179,265,2020-03-25 14:19:44,Saque,-95
54854,265,2021-01-08 02:24:48,Saque,-440
55815,265,2022-09-15 14:01:10,Saque,-285
8052,521,2022-11-17 13:54:52,Saque,-160
30093,521,2022-12-29 16:05:00,Saque,-365
48929,521,2022-12-30 00:00:00,Saque,-100
51308,777,2022-12-29 23:59:59,Saque,-140
59011,777,2022-12-29 23:59:59,Saque,-80
22540,10,2021-05-12 05:55:06,Saque,-130
29438,10,2022-06-12 21:06:15,Saque,-80
44734,10,2022-12-27 09:14:06,Saque,-445
12388,266,2016-10-11 03:08:19,Saque,-40
15810,266,2018-12-05 17:29:21,Saque,-210
24977,266,2020-02-02 18:07:07,Saque,-180
27283,266,2020-02-16 11:05:34,Saque,-1140
38718,266,2020-07-03 18:27:26,Saque,-270
43848,266,2020-10-19 16:14:57,Saque,-120
44722,266,2020-10-19 18:48:18,Saque,-50
36117,522,2018-04-23 22:38:54,Saque,-300
56909,522,2020-08-24 03:29:35,Saque,-75
18149,11,2012-08-01 18:04:04,Saque,-235
38618,11,2014-09-15 19:49:41,Saque,-145
44427,11,2014-09-16 06:19:39,Saque,-175
56189,11,2022-12-19 06:42:23,Saque,-655
63414,11,2022-12-29 22:19:40,Saque,-95
22955,267,2022-12-29 23:56:15,Saque,-840
46180,267,2022-12-30 00:00:00,Saque,-75
3645,523,2013-06-02 03:31:37,Saque,-65
38984,523,2013-12-29 11:10:50,Saque,-55
42980,523,2013-12-30 09:53:21,Saque,-95
58561,523,2014-06-06 02:23:18,Saque,-230
14936,779,2014-08-07 09:01:46,Saque,-45
15752,779,2014-08-11 03:11:17,Saque,-210
33537,779,2015-01-17 21:35:01,Saque,-115
35323,779,2016-07-28 01:14:04,Saque,-240
53676,779,2020-09-14 00:49:23,Saque,-240
65848,779,2021-03-23 02:57:31,Saque,-65
66934,779,2021-03-24 19:44:04,Saque,-100
6103,12,2016-02-06 19:59:11,Saque,-90
37428,12,2017-03-29 13:23:46,Saque,-45
17606,524,2022-08-19 15:02:48,Saque,-255
65455,524,2022-12-29 18:47:18,Saque,-115
9687,780,2018-06-03 14:36:08,Saque,-250
12757,780,2018-06-06 08:38:27,Saque,-370
43121,780,2021-11-01 00:26:10,Saque,-690
65293,780,2022-01-18 15:06:53,Saque,-145
1798,13,2023-01-08 07:02:40,Saque,-20
27639,269,2018-05-25 23:55:30,Saque,-25
33570,269,2018-08-14 13:18:40,Saque,-225
54788,269,2019-09-09 00:51:33,Saque,-70
56452,269,2019-11-07 23:12:46,Saque,-350
60876,269,2019-11-18 17:09:23,Saque,-215
43403,525,2016-06-03 06:17:57,Saque,-190
45386,525,2016-06-15 03:09:39,Saque,-40
58995,525,2017-10-05 00:51:26,Saque,-100
71831,525,2017-10-21 07:21:47,Saque,-1330
2923,781,2014-09-27 23:58:03,Saque,-145
8520,781,2014-10-31 20:11:12,Saque,-320
15369,781,2015-04-18 10:49:24,Saque,-170
15704,781,2015-04-19 04:40:56,Saque,-385
21972,781,2015-10-19 00:46:51,Saque,-185
16383,14,2022-08-05 04:18:10,Saque,-165
45047,14,2022-12-29 18:35:12,Saque,-90
30353,270,2021-12-10 01:55:16,Saque,-195
55044,526,2022-09-18 11:47:22,Saque,-40
